City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Month,Season,PM_ratio,Pollutant_Load
Ahmedabad,2015-01-29,83.13,109.84,6.93,28.71,33.72,16.99,4.14,43.33,59.76,0.02,0.0,1.38,209.0,1,Winter,0.7568281136198106,73.4915
Ahmedabad,2015-01-30,79.84,109.84,13.85,28.68,41.08,16.99,4.14,43.33,97.07,0.04,0.0,1.38,328.0,1,Winter,0.7268754552075747,72.171
Ahmedabad,2015-01-31,94.52,109.84,24.39,32.66,52.61,16.99,4.14,43.33,111.33,0.24,0.01,1.38,514.0,1,Winter,0.8605243991260014,78.64
Ahmedabad,2015-02-01,135.99,136.6,43.48,42.08,84.57,16.99,4.14,43.33,102.7,0.4,0.04,1.38,782.0,2,Winter,0.9955344070278186,103.331
Ahmedabad,2015-02-02,178.33,136.6,54.56,35.31,72.8,16.99,4.14,43.33,107.38,0.46,0.06,1.38,914.0,2,Winter,1.3054904831625185,119.2515
Ahmedabad,2015-02-03,139.7,136.6,30.61,28.4,56.73,16.99,4.14,33.79,73.6,0.17,0.03,1.38,660.0,2,Winter,1.0226939970717424,101.80900000000001
Ahmedabad,2015-02-04,80.65,136.6,2.37,22.83,24.0,16.99,2.37,25.73,47.3,0.0,0.0,1.38,294.0,2,Winter,0.5904099560761348,74.7775
Ahmedabad,2015-02-05,58.36,136.6,2.6,21.39,23.31,16.99,2.6,32.66,53.54,0.0,0.0,1.38,149.0,2,Winter,0.4272327964860908,66.5685
Ahmedabad,2015-02-06,79.29,136.6,1.16,26.94,26.83,16.99,1.16,43.33,59.3,0.0,0.0,1.38,190.0,2,Winter,0.5804538799414349,75.39999999999999
Ahmedabad,2015-02-07,88.7,136.6,7.29,31.32,37.73,16.99,4.14,43.33,44.76,0.0,0.0,1.38,247.0,2,Winter,0.6493411420204979,82.80099999999999
Ahmedabad,2015-02-08,74.28,136.6,8.92,27.3,33.42,16.99,4.14,43.33,47.42,0.0,0.0,1.38,379.0,2,Winter,0.5437774524158127,76.43
Ahmedabad,2015-02-09,113.93,136.6,4.32,24.27,26.86,16.99,4.14,43.33,39.94,0.02,0.0,1.38,341.0,2,Winter,0.8340409956076136,91.83550000000001
Ahmedabad,2015-02-10,105.39,136.6,1.41,18.21,18.75,16.99,1.41,35.91,56.15,0.0,0.0,1.38,256.0,2,Winter,0.7715226939970717,84.0385
Ahmedabad,2015-02-11,66.52,136.6,6.34,23.8,28.24,16.99,4.14,43.33,53.14,9.7,9.63,1.38,388.0,2,Winter,0.48696925329428986,72.80099999999999
Ahmedabad,2015-02-12,65.04,136.6,14.19,30.1,44.21,16.99,4.14,43.33,31.88,7.72,17.46,1.38,288.0,2,Winter,0.4761346998535872,73.154
Ahmedabad,2015-02-13,103.36,136.6,18.18,39.56,57.33,16.99,4.14,43.33,40.11,10.92,24.35,1.38,510.0,2,Winter,0.7566617862371889,89.901
Ahmedabad,2015-02-14,177.33,136.6,37.49,47.58,77.85,16.99,4.14,43.33,36.47,10.92,25.889999999999997,1.38,761.0,2,Winter,1.2981698389458274,120.692
Ahmedabad,2015-02-15,113.25,136.6,15.55,30.5,44.87,16.99,4.14,43.33,33.78,10.47,25.889999999999997,1.38,475.0,2,Winter,0.8290629575402636,92.498
Ahmedabad,2015-02-16,99.7,136.6,19.85,28.1,47.31,16.99,4.14,43.33,30.57,10.28,25.889999999999997,1.38,536.0,2,Winter,0.7298682284040996,86.718
Ahmedabad,2015-02-17,80.61,136.6,15.96,21.04,35.67,16.99,4.14,43.33,36.2,8.14,18.75,1.38,479.0,2,Winter,0.590117130307467,78.02300000000001
Ahmedabad,2015-02-18,100.79,136.6,16.24,25.93,41.91,16.99,4.14,43.11,37.43,10.0,25.889999999999997,1.38,592.0,2,Winter,0.7378477306002929,86.80650000000001
Ahmedabad,2015-02-19,107.99,136.6,11.25,30.09,40.47,16.99,4.14,43.33,31.94,9.2,24.03,1.38,427.0,2,Winter,0.7905563689604685,90.3325
Ahmedabad,2015-02-20,140.29,136.6,33.84,36.14,68.85,16.99,4.14,43.33,40.98,10.92,25.889999999999997,1.38,588.0,2,Winter,1.02701317715959,104.16
